SMOTE_1st_tuning_not_pca_dl_report,,,,,
recall,0.796212121,0.931818182,0.80058651,0.864015152,0.80058651
f1-score,0.885425442,0.231638418,0.80058651,0.55853193,0.864335538
support,1320,44,0.80058651,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca3_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.995523724,0.157894737,0.843841642,0.576709231,0.968503434
recall,0.842424242,0.886363636,0.843841642,0.864393939,0.843841642
f1-score,0.912597456,0.268041237,0.843841642,0.590319347,0.89180532
support,1320,44,0.843841642,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_not_pca_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.991656734,0.141304348,0.838709677,0.566480541,0.964226012
recall,0.84040404,0.787878788,0.838709677,0.814141414,0.838709677
f1-score,0.909786769,0.239631336,0.838709677,0.574709053,0.888168852
support,990,33,0.838709677,1023,1023
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_not_pca_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.995617879,0.174887892,0.86143695,0.585252886,0.969142718
recall,0.860606061,0.886363636,0.86143695,0.873484848,0.86143695
f1-score,0.92320195,0.292134831,0.86143695,0.607668391,0.902844947
support,1320,44,0.86143695,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca1_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,1,0.106109325,0.728250244,0.553054662,0.971164817
recall,0.719191919,1,0.728250244,0.85959596,0.728250244
f1-score,0.83666275,0.191860465,0.728250244,0.514261607,0.815862676
support,990,33,0.728250244,1023,1023
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca1_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.996466431,0.172413793,0.856304985,0.584440112,0.969884088
recall,0.854545455,0.909090909,0.856304985,0.881818182,0.856304985
f1-score,0.920065253,0.289855072,0.856304985,0.604960163,0.899735892
support,1320,44,0.856304985,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca2_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.997402597,0.122529644,0.781036168,0.559966121,0.969180889
recall,0.775757576,0.939393939,0.781036168,0.857575758,0.781036168
f1-score,0.872727273,0.216783217,0.781036168,0.544755245,0.851567787
support,990,33,0.781036168,1023,1023
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca2_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.99463807,0.155102041,0.843841642,0.574870055,0.967556262
recall,0.843181818,0.863636364,0.843841642,0.853409091,0.843841642
f1-score,0.912669127,0.262975779,0.843841642,0.587822453,0.891711277
support,1320,44,0.843841642,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca3_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.997218359,0.101973684,0.731182796,0.549596022,0.968339498
recall,0.724242424,0.939393939,0.731182796,0.831818182,0.731182796
f1-score,0.839087185,0.183976261,0.731182796,0.511531723,0.817954575
support,990,33,0.731182796,1023,1023
,,,,,
,,,,,
,,,,,
udersampling_2nd_tuning_pca3_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.995539697,0.160493827,0.846774194,0.578016762,0.968602733
recall,0.845454545,0.886363636,0.846774194,0.865909091,0.846774194
f1-score,0.914379353,0.271777003,0.846774194,0.593078178,0.893650245
support,1320,44,0.846774194,1364,1364
